,car_url
0,/sz/car/aedfb4f98c685149
1,/dl/car/3d4e46fee2001d9f
2,/hf/car/9b7211c1b4412c9b
3,/hf/car/80569ef33385119f
4,/hf/car/01b3e467e93b7770
5,/anqing/car/c3567961ed6b9f57
6,/wh/car/164ba63295f2cd86
7,/sz/car/f53884f603d9271d
8,/cd/car/72bbce23d6138236
9,/km/car/c01653fe4d6db0d0
10,/gz/car/3c66ab3cd25d5939
11,/nj/car/409cf7c79850d6c5
12,/bj/car/40502a15c02955b3
13,/sh/car/7519b8d1a51f1b40
14,/wx/car/1fbb3468029da274
15,/dg/car/5261944637ceed9f
16,/sh/car/434ae88af044a6ea
17,/hrb/car/e5e92ef5062ab9a5
18,/cd/car/3d5f9adf50b30140
19,/wx/car/61cf0b1cc4dbdf0c
20,/km/car/cc467466c691b5fb
21,/bj/car/acf73015faf7f7ce
22,/dg/car/4945703258642925
23,/huizhou/car/97ffcde63a9e29c4
24,/ts/car/d5371d014ec521f6
25,/zz/car/822f2b29bc49f510
26,/bj/car/b07e95101afd89d4
27,/qd/car/b6fa8aaf44ce5200
28,/suz/car/e425f4fe935e2267
29,/tj/car/31751af198c17b01
30,/sy/car/70e7e64e3b6d9caf
31,/wx/car/97417db19f305112
32,/wuhu/car/84ed937f931266ac
33,/xa/car/eb854d1fea90429d
34,/bj/car/2d5400b59d251fdd
35,/sy/car/e7bc4e8e1d94a284
36,/bj/car/941fa791baf484ca
37,/huzhou/car/d6fe65aa13d78f3e
38,/cq/car/e0abd20f4770c045
39,/fs/car/6e555f8bcfdba9df
40,/dg/car/241d702499a78e77
41,/lz/car/43a2d729b051a89a
42,/zz/car/b841484bc70e7289
43,/wh/car/f21c2ac4fcadbf93
44,/dg/car/0cbf14cdc99c51f1
45,/sq/car/424bbe19f9bae055
46,/dg/car/f1d0775dda52835d
47,/jingzhou/car/93ae95a46c7343a7
48,/yj/car/b3b16a40f0c7e364
49,/jingzhou/car/d8999ed1fb103963
50,/zz/car/f7192b69936aa58f
51,/lz/car/941b77fcd4449076
52,/wulu/car/d1c89ac2d850cc90
53,/qz/car/66626909ddb1003d
54,/zhuzhou/car/c27fe79d3878b21f
55,/zhuzhou/car/d61379e481561229
56,/zhuzhou/car/ded247046bbbdf70
57,/ny/car/acdf23a383072aa5
